"Qty";"Value";"Device";"Package";"Parts";"Description";"BTM_NEG";"BTM_POS";"NR3015T4R7M";"PROD_ID";"TOP_NEG";"TOP_POS";"VALUE";
"1";"";"BATTERY20PTH";"BATTCOM_20MM_PTH";"J03M";"Battery Holders";"";"";"";"";"";"";"";
"1";"";"JST_2MM_MALE";"JST-2-SMD";"J03B";"Mates to single-cell LiPo batteries.";"-";"+";"";"CONN-11443";"-";"+";"";
"4";"";"LED0603";"LED-0603";"D01B, D01S, D02B, D06B";"LEDs";"";"";"";"";"";"";"";
"10";"";"M01PTH";"1X01";"J01B, J02B, J05B, J06B, J08B, J09B, J10B, J11B, J12B, J13B";"Header 1";"";"";"";"";"";"";"";
"1";"";"M02PTH";"1X02";"J04B";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";"";
"1";"";"M05PTH";"1X05";"J01M";"Header 5";"";"";"";"";"";"";"";
"1";"";"SOLDERJUMPER_2WAYT";"SJ_2";"SJ1";"Solder Jumper";"";"";"";"";"";"";"";
"5";"0 Ohm";"RESISTOR0603";"0603-RES";"R02S, R04B, R05B, R07B, R19B";"Resistor";"";"";"";"";"";"";"";
"18";"0 Ohm";"RESISTOR0603-RES";"0603-RES";"R01D, R01M, R02D, R02M, R03B, R03D, R03M, R04D, R04M, R05D, R05M, R06D, R06M, R07D, R08D, R09D, R10D, R11D";"Resistor";"";"";"";"";"";"";"";
"12";"0.1uF";"CAP0603-CAP";"0603-CAP";"C01M, C01S, C02M, C03S, C04S, C06B, C07B, C12B, C14B, C15B, C16B, C17B";"Capacitor";"";"";"";"";"";"";"";
"1";"100k";"RESISTOR0603";"0603-RES";"R11B";"Resistor";"";"";"";"";"";"";"";
"1";"100k";"TRIMPOTTC33X";"TC33X";"R18B";"SMT trimmer potentiometer part number TC33X";"";"";"";"";"";"";"";
"1";"100pf";"CAP0603-CAP";"0603-CAP";"C08B";"Capacitor";"";"";"";"";"";"";"";
"2";"10k";"RESISTOR0603";"0603-RES";"R10B, R12B";"Resistor";"";"";"";"";"";"";"";
"1";"10uF";"CAP0603-CAP";"0603-CAP";"C02S";"Capacitor";"";"";"";"";"";"";"";
"4";"1k";"RESISTOR0603-RES";"0603-RES";"R01B, R01S, R02B, R09B";"Resistor";"";"";"";"";"";"";"";
"1";"1k (DNP)";"RESISTOR0603";"0603-RES";"R20B";"Resistor";"";"";"";"";"";"";"";
"3";"1uF";"CAP0603-CAP";"0603-CAP";"C01B, C11B, C13B";"Capacitor";"";"";"";"";"";"";"";
"1";"2.2uH - NR3015T2R2M";"INDUCTOR-SPARKFUNNR3015T4R7M";"INDUCTOR-NR3015";"L01B";"Inductors";"";"";"4.7uH";"";"";"";"";
"1";"200k";"RESISTOR0603";"0603-RES";"R17B";"Resistor";"";"";"";"";"";"";"";
"1";"22uF";"CAP0603-CAP";"0603-CAP";"C05B";"Capacitor";"";"";"";"";"";"";"";
"2";"22uH";"INDUCTOR";"4040(1515)";"L02B, L03B";"";"";"";"";"";"";"";"";
"1";"2k (DNP)";"RESISTOR0603";"0603-RES";"R21B";"Resistor";"";"";"";"";"";"";"";
"3";"33k";"RESISTOR0603";"0603-RES";"R08B, R14B, R16B";"Resistor";"";"";"";"";"";"";"";
"2";"4.7k";"RESISTOR0603-RES";"0603-RES";"R08M, R09M";"Resistor";"";"";"";"";"";"";"";
"1";"4.7pf";"CAP0603-CAP";"0603-CAP";"C10B";"Capacitor";"";"";"";"";"";"";"";
"4";"4.7uF";"CAP0603-CAP";"0603-CAP";"C02B, C03B, C04B, C09B";"Capacitor";"";"";"";"";"";"";"";
"2";"4.7uF (DNP)";"CAP0603-CAP";"0603-CAP";"C19B, C20B";"Capacitor";"";"";"";"";"";"";"";
"1";"470k";"RESISTOR0603";"0603-RES";"R13B";"Resistor";"";"";"";"";"";"";"";
"1";"560k";"RESISTOR0603";"0603-RES";"R15B";"Resistor";"";"";"";"";"";"";"";
"1";"ADXL345";"ADXL345";"LGA14";"U01S";"3-axis SPI/I2C 2/4/8/16g accelerometer";"";"";"";"";"";"";"";
"1";"BQ24075";"BQ24075";"QFN-16";"U1B";"1.5-A USB-Friendly Li-Ion Battery Charger and Power-Path Management IC";"";"";"";"";"";"";"";
"1";"DNP";"RESISTOR0603";"0603-RES";"R06B";"Resistor";"";"";"";"";"";"";"";
"1";"FEMALE 2x3";"M03X2FEMALE";"2X3";"J02M";"2x3 .1" header.";"";"";"";"CONN-11566";"";"";"FEMALE 2x3";
"1";"IRLML6402PbF";"MOSFET-PCHANNELSMD";"SOT23-3";"Q01B";"Generic PMOSFET";"";"";"";"";"";"";"";
"1";"LM358-DGKR";"LM358-DGKR";"MSOP-8";"U6B";"LM358, two independent, high-gain, Wide Supply Ranges";"";"";"";"";"";"";"";
"1";"LM78L15";"LM78L15";"SO08";"U5B";"LM78L15, SOIC-8";"";"";"";"";"";"";"";
"1";"LM79L15";"LM79L15";"SO08";"U4B";"LM79L15, SOIC-8";"";"";"";"";"";"";"";
"1";"LT1945-IMS#PBF";"LT1945-IMS#PBF";"MSOP-10";"U3B";"LT1945";"";"";"";"";"";"";"";
"2";"MCP2300X/QFN";"MCP2300X/QFN";"QFN-20(4X4)";"U01M, U02M";"MCP23008";"";"";"";"";"";"";"";
"1";"MCP73831";"MCP73831";"SOT23-5";"U1";"Miniature single cell, fully integrated Li-Ion, Li-polymer charge management controller";"";"";"";"IC-09995";"";"";"";
"1";"MICROSD";"MICROSD";"MICROSD";"J01S";"Micro-SD / Transflash card holder with SPI pinout";"";"";"";"";"";"";"";
"4";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"H1, H2, H3, H4";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";
"1";"OSHW-LOGOM-COPPER";"OSHW-LOGOM-COPPER";"OSHW-LOGO-M_COPPER";"LOGO1";"Open Source Hardware Logo";"";"";"";"";"";"";"";
"1";"PHOTON_WITH_STACKABLE_HEADERS";"PHOTON_WITH_STACKABLE_HEADERS";"PHOTON_STACKABLE";"U03M";"";"";"";"";"";"";"";"";
"1";"R8008-33";"R8008-33";"SOT23-5";"U2B";"";"";"";"";"";"";"";"";
"3";"SS24T3G";"SS24T3G";"SMA-DIODE";"D03B, D04B, D05B";"SS24T3G, Schottky diode";"";"";"";"";"";"";"";
"1";"SWITCH-MOMENTARY-2PTH";"SWITCH-MOMENTARY-2PTH";"TACTILE-PTH";"SW01M";"Various NO switches- pushbuttons, reed, etc";"";"";"";" SWCH-08441";"";"";"";
"5";"TP1";"TP1";"TP35_BOT";"TP01B, U$1, U$2, U$3, U$4";"Test Points of all sizes and shapes";"";"";"";"";"";"";"";
"1";"TP3";"TP3";"TP60_BOT";"U$5";"Test Points of all sizes and shapes";"";"";"";"";"";"";"";
"1";"USBUSB-MICROB-SLOT-HOLE";"USBUSB-MICROB-SLOT-HOLE";"USB-MICROB-SLOT-HOLE";"J07B";"";"";"";"";"";"";"";"";
"1";"insert here";"E-INK-ED060SC4V2";"FPC-0.3-39";"J02S";"";"";"";"";"";"";"";"";
